2.32,1.89,23.47,20.15
4.6,3.66,23.18,18.92
6.87,5.31,22.9,17.71
9.1,6.84,22.63,16.53
13.51,9.57,22.14,14.22
15.67,10.77,21.9,13.09
17.82,11.85,21.68,11.97
19.94,12.83,21.46,10.87
22.05,13.7,21.26,9.79
26.2,15.12,20.87,7.66
28.25,15.68,20.68,6.61
30.28,16.13,20.5,5.57
32.3,16.49,20.33,4.55
34.3,16.74,20.16,3.53
38.25,16.94,19.83,1.52
40.2,16.89,19.67,0.53
42.14,16.75,19.52,-0.46
45.96,16.17,19.22,-2.4
49.73,15.21,18.92,-4.32
51.6,14.59,18.77,-5.27
53.44,13.87,18.63,-6.2
55.28,13.07,18.48,-7.14
57.1,12.17,18.33,-8.06
60.69,10.1,18.04,-9.88
62.46,8.93,17.89,-10.78
64.22,7.68,17.74,-11.67
65.97,6.34,17.59,-12.55
67.7,4.91,17.44,-13.42
71.11,1.79,17.13,-15.14
72.79,0.11,16.97,-15.98
