10.9025115673,44.0,11
11.4858417509,44.0,12
11.9741792185,42.0,13
12.3906003358,44.0,14
12.9454559705,42.0,15
13.2391498474,43.0,16
13.7257964436,44.0,17
14.2231118629,43.0,18
14.4856134075,44.0,19
15.0621623992,43.0,20
15.3042661601,44.0,21
15.8501025856,44.0,22
16.0877982608,44.0,23
16.554619431,42.0,24
16.8409049544,44.0,25
17.2715750654,43.0,26
17.5673201223,44.0,27
17.8863785487,43.0,28
18.2700711814,44.0,29
18.6788029029,43.0,30
18.9935870077,42.0,31
19.3351707637,44.0,32
19.630363201,43.0,33
19.888805592,44.0,34
