0.1,2.95,2.66
0.2,5.84,5.15
0.3,8.66,7.49
0.4,11.41,9.68
0.5,14.11,11.73
0.6,16.75,13.64
0.7,19.34,15.41
0.8,21.89,17.06
0.9,24.38,18.57
1.0,26.84,19.96
1.1,29.25,21.23
1.2,31.62,22.38
1.3,33.96,23.41
1.4,36.26,24.33
1.5,38.52,25.14
1.6,40.75,25.84
1.7,42.96,26.43
1.8,45.13,26.92
1.9,47.27,27.3
2.0,49.38,27.58
2.1,51.47,27.76
2.2,53.53,27.83
2.3,55.57,27.81
2.4,57.58,27.69
2.5,59.57,27.48
2.6,61.53,27.16
2.7,63.47,26.76
2.8,65.39,26.26
2.9,67.28,25.67
3.0,69.15,24.99
3.1,71.0,24.21
3.2,72.83,23.35
3.3,74.63,22.4
3.4,76.42,21.37
3.5,78.18,20.25
3.6,79.92,19.04
3.7,81.63,17.76
3.8,83.33,16.39
3.9,85.0,14.94
4.0,86.65,13.41
4.1,88.28,11.81
4.2,89.88,10.13
4.3,91.47,8.37
4.4,93.03,6.54
4.5,94.57,4.64
4.6,96.08,2.67
4.7,97.58,0.63
