0.1,5.73,3.82
0.2,10.92,7.19
0.3,15.64,10.16
0.4,19.96,12.78
0.5,23.94,15.1
0.6,27.64,17.17
0.7,31.1,19.0
0.8,34.34,20.62
0.9,37.39,22.05
1.0,40.29,23.31
1.1,43.04,24.41
1.2,45.66,25.36
1.3,48.16,26.17
1.4,50.56,26.85
1.5,52.87,27.4
1.6,55.08,27.84
1.7,57.22,28.16
1.8,59.29,28.37
1.9,61.28,28.48
2.0,63.22,28.49
2.1,65.09,28.4
2.2,66.91,28.22
2.3,68.67,27.94
2.4,70.39,27.58
2.5,72.06,27.12
2.6,73.68,26.58
2.7,75.25,25.96
2.8,76.79,25.25
2.9,78.28,24.47
3.0,79.73,23.61
3.1,81.15,22.68
3.2,82.52,21.67
3.3,83.86,20.59
3.4,85.16,19.44
3.5,86.43,18.23
3.6,87.66,16.95
3.7,88.85,15.61
3.8,90.01,14.22
3.9,91.14,12.76
4.0,92.23,11.25
4.1,93.29,9.68
4.2,94.32,8.07
4.3,95.32,6.41
4.4,96.29,4.7
4.5,97.22,2.94
4.6,98.13,1.15
