0.1,2.38,2.1
0.2,4.75,4.1
0.3,7.12,5.99
0.4,9.48,7.79
0.5,11.83,9.47
0.6,14.17,11.06
0.7,16.51,12.54
0.8,18.84,13.92
0.9,21.17,15.2
1.0,23.49,16.37
1.1,25.8,17.45
1.2,28.11,18.42
1.3,30.41,19.3
1.4,32.7,20.07
1.5,34.99,20.74
1.6,37.28,21.32
1.7,39.56,21.79
1.8,41.83,22.17
1.9,44.1,22.45
2.0,46.37,22.63
2.1,48.62,22.71
2.2,50.88,22.69
2.3,53.13,22.57
2.4,55.37,22.36
2.5,57.61,22.05
2.6,59.84,21.64
2.7,62.07,21.13
2.8,64.29,20.53
2.9,66.51,19.83
3.0,68.72,19.04
3.1,70.93,18.15
3.2,73.13,17.16
3.3,75.33,16.08
3.4,77.52,14.9
3.5,79.71,13.62
3.6,81.89,12.26
3.7,84.06,10.79
3.8,86.23,9.24
3.9,88.4,7.59
4.0,90.55,5.84
4.1,92.7,4.0
4.2,94.85,2.07
4.3,96.99,0.05
