0.1,3.94,2.88
0.2,7.68,5.52
0.3,11.26,7.95
0.4,14.68,10.17
0.5,17.96,12.21
0.6,21.12,14.07
0.7,24.16,15.76
0.8,27.1,17.3
0.9,29.94,18.69
1.0,32.69,19.94
1.1,35.36,21.06
1.2,37.95,22.04
1.3,40.47,22.9
1.4,42.92,23.64
1.5,45.31,24.26
1.6,47.65,24.77
1.7,49.92,25.17
1.8,52.15,25.46
1.9,54.32,25.65
2.0,56.45,25.74
2.1,58.53,25.73
2.2,60.57,25.61
2.3,62.56,25.41
2.4,64.52,25.11
2.5,66.44,24.71
2.6,68.32,24.23
2.7,70.16,23.66
2.8,71.97,23.0
2.9,73.75,22.26
3.0,75.49,21.43
3.1,77.19,20.52
3.2,78.87,19.53
3.3,80.51,18.46
3.4,82.12,17.31
3.5,83.7,16.09
3.6,85.24,14.8
3.7,86.76,13.43
3.8,88.24,11.99
3.9,89.69,10.49
4.0,91.12,8.92
4.1,92.51,7.28
4.2,93.87,5.58
4.3,95.21,3.82
4.4,96.51,2.0
4.5,97.78,0.12
